FID,X,Y,District,Country,Species
393,36.3006636,7.748468,Gera,Ethiopia,Coffeearabica
394,36.3008314,7.746397,Gera,Ethiopia,Coffeearabica
395,36.2977013,7.7472328,Gera,Ethiopia,Coffeearabica
396,36.2952737,7.747836,Gera,Ethiopia,Coffeearabica
397,36.2941997,7.7463371,Gera,Ethiopia,Coffeearabica
398,36.2918618,7.7451755,Gera,Ethiopia,Coffeearabica
399,36.2886289,7.7459553,Gera,Ethiopia,Coffeearabica
400,36.2853313,7.7470687,Gera,Ethiopia,Coffeearabica
401,36.2821468,7.7485953,Gera,Ethiopia,Coffeearabica
402,36.2798364,7.7483316,Gera,Ethiopia,Coffeearabica
403,36.2800964,7.7457565,Gera,Ethiopia,Coffeearabica
404,36.2781766,7.7418473,Gera,Ethiopia,Coffeearabica
405,36.2775425,7.7392208,Gera,Ethiopia,Coffeearabica
406,36.2750376,7.7398561,Gera,Ethiopia,Coffeearabica
407,36.2733188,7.7426593,Gera,Ethiopia,Coffeearabica
408,36.2731105,7.7453467,Gera,Ethiopia,Coffeearabica
409,36.2736261,7.7470424,Gera,Ethiopia,Coffeearabica
410,36.2758831,7.7480514,Gera,Ethiopia,Coffeearabica
411,36.2716429,7.7515308,Gera,Ethiopia,Coffeearabica
412,36.3611322,7.7824084,Gera,Ethiopia,Coffeearabica
413,36.3603144,7.7772531,Gera,Ethiopia,Coffeearabica
414,36.3618286,7.7676597,Gera,Ethiopia,Coffeearabica
415,36.3639956,7.7616778,Gera,Ethiopia,Coffeearabica
416,36.3685056,7.7544524,Gera,Ethiopia,Coffeearabica
417,36.3643466,7.7483836,Gera,Ethiopia,Coffeearabica
418,36.3579686,7.7428807,Gera,Ethiopia,Coffeearabica
419,36.3634435,7.7432921,Gera,Ethiopia,Coffeearabica
420,36.3709119,7.7520295,Gera,Ethiopia,Coffeearabica
421,36.3706831,7.7543168,Gera,Ethiopia,Coffeearabica
422,36.3707517,7.758775,Gera,Ethiopia,Coffeearabica
